,Species,1,2,3,4,5,6,7,8,9,10,
1,A. dubius / americanus,"0,002",,,,,,,,,,
2,A. marinus,"0,051","0,002",,,,,,,,,
3,A. hexapterus,"0,057","0,018","0,000",,,,,,,,
4,A. personatus,"0,069","0,055","0,038","0,005",,,,,,,
5,H. immaculatus,"0,077","0,046","0,037","0,065","0,001",,,,,,
6,H .lanceolatus,"0,100","0,091","0,095","0,126","0,124","0,001",,,,,
7,A. tobiabus,"0,101","0,092","0,096","0,128","0,139","0,006","0,002",,,,
8,A. heian,"0,106","0,093","0,085","0,092","0,106","0,137","0,138","0,005",,,
9,A. japonicus,"0,141","0,149","0,139","0,140","0,144","0,202","0,204","0,138","0,007",,
10,U. fuscomaculatus,"0,860","0,975","1,098","1,018","0,919","1,260","1,262","0,958","1,254",n/c,
11,K. averruncus,"0,913","0,962","0,979","0,951","1,110","1,318","1,296","1,211","1,746","0,908",n/c
